ComplaintID;CustomerID;ProductID;ComplaintDate;ComplaintType;SolutionType;FeedbackType
181932;3464;8;14/10/2010;7;2;
168698;3464;8;19/07/2010;1;2;3
163694;4107;8;11/06/2010;1;2;3
111664;4870;8;25/04/2009;1;3;3
139482;4870;8;05/12/2009;1;3;3
175483;4870;8;02/09/2010;1;2;3
115060;5413;7;23/06/2007;1;;
44278;5413;7;22/12/2007;1;1;3
42998;5413;7;10/12/2007;1;2;3
87094;5413;7;05/01/2009;1;2;5
93999;5413;7;18/02/2009;1;2;3
81584;5413;7;17/11/2008;1;1;3
82328;5413;7;22/11/2008;1;1;5
70107;5413;7;14/08/2008;1;1;3
109867;5413;7;06/04/2009;1;2;
109775;5413;7;06/04/2009;1;2;3
94527;5413;7;24/02/2009;1;2;3
94449;5413;7;20/02/2009;1;1;
94448;5413;7;21/02/2009;1;1;5
129798;5413;7;28/09/2009;9;1;
110451;6621;8;03/05/2007;2;;
112733;6621;8;30/05/2007;2;;
63797;7182;4;16/06/2008;1;1;
177637;7182;3;03/09/2010;9;1;
177639;7182;3;06/09/2010;9;1;
177632;7182;3;28/08/2010;9;1;
177634;7182;3;31/08/2010;9;1;
177640;7182;3;07/09/2010;9;1;
177633;7182;3;30/08/2010;9;1;
177644;7182;3;11/09/2010;9;1;
177643;7182;3;10/09/2010;9;1;
177636;7182;3;02/09/2010;9;1;
177642;7182;3;09/09/2010;9;1;
177645;7182;3;13/09/2010;9;1;
177635;7182;3;01/09/2010;9;1;
177638;7182;3;04/09/2010;9;1;
177641;7182;3;08/09/2010;9;1;
118070;8879;8;27/06/2009;1;1;3
191080;8879;8;09/12/2010;1;1;6
46328;11267;8;01/12/2007;1;1;
122344;11414;8;07/09/2007;9;;
159320;11414;8;04/05/2010;1;2;3
41966;11414;8;01/12/2007;1;1;4
127836;11414;8;12/09/2009;1;1;3
127837;11414;8;14/09/2009;1;2;3
127200;11414;8;07/09/2009;1;1;2
67612;14713;3;22/07/2008;1;2;
140392;15316;8;12/12/2009;1;3;3
56258;15316;8;05/04/2008;1;1;3
129827;15316;8;28/09/2009;1;2;3
128021;15316;8;12/09/2009;1;1;5
95268;15316;8;02/03/2009;1;1;4
94460;15316;8;23/02/2009;1;1;3
150274;15316;8;22/02/2010;1;2;3
142209;15316;8;19/12/2009;1;3;3
95654;17768;8;02/03/2009;1;1;4
75901;17768;8;27/09/2008;1;3;3
122326;17858;8;10/09/2007;1;;
90351;18636;2;14/01/2009;1;1;6
90352;18636;2;19/01/2009;1;1;4
40423;19811;8;19/11/2007;1;3;3
53115;19947;8;08/03/2008;1;1;3
121903;20029;5;05/09/2007;1;;
77043;20029;5;13/10/2008;1;1;4
92923;21243;8;30/09/2006;7;;
93392;21243;8;07/10/2006;1;;
101764;21243;8;20/01/2007;1;;
122196;21243;8;07/09/2007;9;;
130276;21243;8;29/09/2009;3;1;3
133973;21243;8;24/10/2009;1;3;3
194581;21243;8;24/12/2010;1;1;
44813;22028;4;02/01/2008;1;2;3
80066;22028;3;14/10/2008;1;1;
80068;22028;3;17/10/2008;1;1;
80067;22028;3;15/10/2008;1;1;
82897;22028;3;24/11/2008;1;1;
84433;22028;3;09/12/2008;1;1;
141183;22028;3;19/12/2009;1;1;2
120098;23367;6;04/07/2009;1;1;3
144395;23657;8;08/01/2010;1;1;2
144398;23657;8;04/01/2010;1;1;3
144397;23657;8;07/01/2010;1;1;2
144394;23657;8;11/01/2010;1;2;2
98314;23886;8;21/12/2006;1;;
52613;23886;8;01/03/2008;1;3;
51869;23886;8;23/02/2008;1;3;3
39168;23886;8;29/09/2007;1;3;
73636;23886;8;11/09/2008;1;1;4
73637;23886;8;12/09/2008;1;1;4
73638;23886;8;13/09/2008;1;1;4
170414;23886;8;22/07/2010;1;1;4
170413;23886;8;20/07/2010;1;1;4
117029;24092;8;22/06/2009;1;2;3
106833;24092;8;02/03/2009;9;1;
187404;24092;8;24/11/2010;1;1;
122528;24092;8;03/08/2009;1;2;3
72622;24092;8;08/09/2008;1;2;3
72692;24092;8;08/09/2008;1;1;
95181;24633;8;06/11/2006;7;;
89168;24633;8;10/01/2009;1;3;2
86842;24633;8;03/01/2009;1;1;5
70968;24879;3;22/08/2008;1;2;
70969;24879;3;21/08/2008;1;1;
157857;24910;8;22/04/2010;1;1;3
77906;27307;8;15/03/2006;1;;
78865;27307;8;25/10/2008;1;1;3
123771;27358;4;24/09/2007;1;;
123295;27358;4;18/09/2007;1;;
158543;28328;8;24/04/2010;1;1;
158545;28328;8;10/04/2010;1;1;
158544;28328;8;17/04/2010;1;1;
192752;28328;8;20/12/2010;1;1;2
153325;28328;8;13/03/2010;1;1;3
53259;28328;8;11/03/2008;1;2;3
93717;28328;8;17/02/2009;1;2;3
123731;29113;7;24/09/2007;3;;
123728;29113;7;22/09/2007;3;;
120595;29113;7;15/07/2009;1;2;3
113075;29272;7;09/05/2009;1;1;
130894;29272;7;05/10/2009;1;1;4
188735;29272;7;02/12/2010;1;2;2
194905;29272;7;24/12/2010;1;1;2
118834;29632;8;06/08/2007;1;;
120919;29632;8;29/08/2007;1;;
82410;29632;8;24/11/2008;1;2;2
150519;30075;2;17/02/2010;1;1;3
108053;30322;8;02/03/2009;9;1;
139792;32002;2;08/12/2009;1;1;3
139794;32002;2;10/12/2009;1;1;3
139789;32002;2;04/12/2009;1;1;3
139786;32002;2;01/12/2009;1;1;3
139793;32002;2;09/12/2009;1;1;3
139784;32002;2;28/11/2009;1;1;3
139785;32002;2;30/11/2009;1;1;3
139790;32002;2;05/12/2009;1;1;3
139787;32002;2;02/12/2009;1;1;3
139788;32002;2;03/12/2009;1;1;3
139791;32002;2;07/12/2009;1;1;3
77870;32333;8;20/10/2008;1;2;3
163541;32578;8;10/06/2010;1;2;3
111693;32899;8;25/04/2009;1;1;
61245;33697;8;02/09/2005;1;;
63005;33697;8;24/10/2005;3;;
69360;33697;8;06/12/2005;1;;
96486;33697;8;18/11/2006;2;;
120218;33697;8;13/07/2009;3;2;3
163465;33697;8;05/06/2010;1;3;3
165229;33697;8;19/06/2010;1;1;3
52781;33697;8;06/03/2008;3;2;
58387;33697;8;29/04/2008;3;2;3
46388;34428;8;01/12/2007;1;1;
198118;35410;3;24/12/2010;1;1;2
172175;35886;8;12/08/2010;1;1;3
92054;35886;8;03/02/2009;1;1;3
102812;36306;8;02/03/2009;9;1;
158159;39326;8;26/04/2010;9;1;
89497;39326;8;05/01/2009;1;1;2
195532;41098;8;24/12/2010;1;1;2
177983;41098;8;20/09/2010;1;1;
96571;41098;8;02/03/2009;1;1;4
62391;41098;8;02/06/2008;1;1;1
73074;41098;8;09/09/2008;1;1;4
200399;41323;2;19/01/2011;2;3;
200397;41323;2;17/01/2011;2;3;
200398;41323;2;18/01/2011;2;3;
112595;41402;8;29/05/2007;9;;
115305;41402;8;03/06/2009;1;2;6
159020;41402;8;30/04/2010;1;1;4
104542;41402;8;02/03/2009;9;1;
40995;41402;8;23/11/2007;1;2;4
90896;42756;8;08/09/2006;1;;
126665;44026;4;06/11/2007;1;;
43070;44026;4;08/12/2007;1;1;3
49311;44026;4;31/01/2008;1;2;
54926;44026;4;22/03/2008;1;1;5
90335;44026;2;19/01/2009;1;1;5
108746;44026;2;21/03/2009;7;3;
108745;44026;2;14/03/2009;7;3;1
146089;45113;8;21/01/2010;1;2;2
114389;45221;8;25/05/2009;1;2;3
114740;45221;8;25/05/2009;1;1;
131258;45221;8;07/10/2009;1;1;3
54501;45375;8;22/03/2008;1;1;3
55332;45375;8;29/03/2008;1;1;3
163158;45513;8;05/06/2010;1;1;
125936;45513;8;29/08/2009;1;1;3
151228;45513;8;27/02/2010;7;2;3
156931;47039;8;15/04/2010;1;2;
105076;47039;8;02/03/2009;9;1;
60534;47039;8;21/05/2008;1;1;3
108075;47428;8;02/03/2009;9;1;
78154;47428;8;10/10/2008;1;1;3
145993;47835;8;20/01/2010;1;2;3
146748;47835;8;27/01/2010;1;2;3
159645;47838;8;06/05/2010;1;1;3
156202;47838;8;09/04/2010;1;2;6
145258;47838;8;15/01/2010;1;2;3
191034;50442;8;16/12/2010;1;1;6
44610;50808;4;26/12/2007;1;1;3
116005;50808;2;06/06/2009;3;3;3
161758;50808;2;28/05/2010;3;2;3
171284;50808;2;09/08/2010;3;2;3
177110;50808;2;13/09/2010;1;1;
176844;50808;2;13/09/2010;3;2;3
195888;52417;6;21/12/2010;1;1;
195886;52417;6;20/12/2010;1;1;
195889;52417;6;22/12/2010;1;1;
195890;52417;6;23/12/2010;1;1;
195891;52417;6;24/12/2010;1;1;
195892;52417;6;27/12/2010;1;1;
195885;52417;6;17/12/2010;1;1;
68887;53104;2;02/08/2008;1;3;
95113;53936;8;28/10/2006;1;;
89459;53936;8;13/01/2009;1;2;2
89460;53936;8;12/01/2009;1;1;
89311;53936;8;12/01/2009;1;2;2
168837;53936;8;20/07/2010;1;2;3
174302;53936;8;21/08/2010;1;3;
121007;54093;8;29/08/2007;1;;
98271;54093;8;17/03/2009;1;1;3
98451;54093;8;18/03/2009;1;2;3
126820;54093;8;04/09/2009;1;2;3
145857;54093;8;16/01/2010;1;3;
149333;55087;8;13/02/2010;1;1;
149332;55087;8;15/02/2010;1;2;2
175413;55087;8;02/09/2010;1;2;2
202605;55087;8;03/02/2011;1;2;
105325;55315;8;02/03/2009;9;1;
152900;55837;8;10/03/2010;1;2;5
179892;55837;8;01/10/2010;7;2;
48454;55837;8;22/01/2008;1;1;
48281;55837;8;19/01/2008;8;3;6
48453;55837;8;23/01/2008;1;1;
49818;55837;8;05/02/2008;1;2;
44891;55837;8;03/01/2008;1;1;6
44893;55837;8;02/01/2008;1;1;
48168;55837;8;21/01/2008;1;1;4
96582;55837;8;02/03/2009;1;1;
108592;55837;8;25/03/2009;1;1;
128282;55837;8;15/09/2009;1;1;
90821;55837;8;22/01/2009;1;1;6
86741;55837;8;05/01/2009;1;2;5
70577;55837;8;18/08/2008;1;1;
179535;56156;8;29/09/2010;1;1;6
100597;56411;6;02/03/2009;9;1;
137790;56876;2;26/11/2009;1;2;6
161138;58760;8;21/05/2010;1;2;6
45603;60157;7;08/01/2008;1;1;
82834;60157;7;25/11/2008;1;2;2
103850;60683;8;02/03/2009;9;1;
58787;60767;8;28/05/2005;1;4;
115373;61149;8;09/06/2007;1;;
53116;61149;8;08/03/2008;1;1;3
186456;61149;8;06/11/2010;9;3;
87117;61149;8;03/01/2009;7;1;4
57588;61483;8;19/04/2008;7;3;
65754;61777;3;07/07/2008;9;;
182074;61777;3;14/10/2010;9;2;
68597;62846;8;01/08/2008;1;2;3
65406;62846;8;03/07/2008;1;2;
54543;63039;8;08/03/2008;1;1;4
84167;63110;8;05/12/2008;1;2;3
99544;63825;6;02/03/2009;9;1;
151750;63825;6;02/03/2010;1;1;3
198499;63887;8;03/01/2011;1;1;
198500;63887;8;04/01/2011;1;1;
179824;63887;8;01/10/2010;7;2;
57244;63887;8;16/04/2008;1;2;
140768;65265;8;18/12/2009;1;2;3
121408;65845;8;25/08/2007;1;;
131526;65845;8;09/10/2009;1;2;1
168213;67723;8;12/07/2010;1;1;
96781;67723;8;02/03/2009;1;1;4
196851;68364;8;24/12/2010;1;1;
141638;68364;8;19/12/2009;1;1;3
173762;68399;2;23/08/2010;1;1;3
173763;68399;2;24/08/2010;1;2;3
105638;68738;8;02/03/2009;9;1;
128554;69230;5;17/09/2009;1;2;4
127838;69230;5;14/09/2009;1;2;6
128095;69230;5;14/09/2009;1;1;
180397;69582;8;05/10/2010;9;1;
145486;70134;8;18/01/2010;1;2;2
198677;70505;8;08/01/2011;1;1;6
