SubscriptionID;ActionType;ProcessingDate;CreditSource;Amount;NbrNewspapers
1002057;EN;18/05/2009;COM;1.04;1
1002089;EN;06/10/2010;COM;0.8783;1
1002089;EN;22/12/2010;COM;0.8783;1
1002089;EN;23/12/2010;COM;0.8783;1
1002089;EN;24/12/2010;COM;0.8783;1
1002089;EN;24/12/2010;COM;0.8783;1
1002093;EN;27/12/2010;COM;0.8783;1
1002093;EN;27/12/2010;COM;0.8783;1
1002096;EN;14/10/2010;COM;0.8783;1
1002096;EN;14/10/2010;COM;0.8783;1
1002096;EN;10/11/2010;COM;0.8783;1
1002096;EN;10/11/2010;COM;0.8783;1
1002096;EN;16/12/2010;COM;0.8783;1
1002355;EN;24/12/2010;COM;0.8783;1
1002496;PO;31/10/2010;SUB;108.0295;0
1002502;EN;25/05/2010;COM;0.8783;1
1002542;EN;24/12/2010;COM;0.8783;1
1003065;EN;09/08/2010;COM;0.8783;1
1003065;EN;09/08/2010;COM;0.8783;1
1003065;EN;09/08/2010;COM;0.8783;1
1003065;EN;09/08/2010;COM;0.8783;1
1009920;EN;23/07/2009;COM;1.0132;1
1014261;EN;18/08/2010;COM;0.8783;1
1018115;EN;15/05/2009;COM;0.939;1
1020882;EN;28/07/2010;COM;0.8783;1
1021369;EN;22/07/2009;COM;1.0132;1
1021567;EN;22/09/2009;COM;1.0132;1
1021649;EN;10/07/2009;COM;0;1
1021860;EN;08/10/2010;COM;0.8783;1
1027510;EN;01/07/2010;COM;0;1
1027510;EN;12/07/2010;COM;0.8783;1
1027510;EN;04/08/2010;COM;0.8783;1
1028930;EN;03/06/2009;COM;0.852;1
1029114;EN;27/03/2009;COM;0.58;1
1030335;EN;09/12/2010;COM;0.8783;1
1030736;EN;23/12/2010;COM;0.8783;1
1030736;EN;30/12/2010;COM;0.8783;1
1030736;EN;28/01/2011;COM;0.8783;1
1032238;EN;19/01/2011;COM;0.8783;1
1032238;EN;19/01/2011;COM;0.8783;1
1034049;EN;06/07/2009;COM;0.77;1
1037564;EN;12/01/2011;COM;0.8783;1
1037564;EN;12/01/2011;COM;0.8783;1
1040631;EN;22/06/2009;COM;1.04;1
1044602;EN;10/07/2009;COM;0;1
1045835;CC;08/07/2009;SUB;37.125;0
1046201;CC;20/05/2009;SUB;45.375;0
104815;EN;15/01/2008;COM;0;1
104818;EN;15/01/2008;COM;0;1
1049122;EN;08/01/2010;COM;0.9474;1
1051828;EN;07/07/2009;COM;1.0132;1
1051828;EN;07/07/2009;COM;1.0132;1
1051828;EN;07/07/2009;COM;1.0132;1
1051828;EN;13/07/2009;COM;1.0132;1
105248;CC;22/02/2007;COM;2.85;
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
1052832;EN;22/10/2009;COM;0.9474;1
105469;EN;15/01/2008;COM;0;1
1054788;CC;01/07/2009;SUB;37.125;0
105482;EN;15/01/2008;COM;0;1
105988;CC;01/12/2007;COM;1.2;0
105988;CC;01/12/2007;COM;1;0
106352;CC;03/10/2007;COM;1.2;0
106352;CC;03/10/2007;COM;1;0
106803;CC;01/12/2007;COM;1.2;0
106803;CC;01/12/2007;COM;1;0
106852;CC;01/12/2007;COM;1;0
106852;CC;01/12/2007;COM;1.2;0
1070153;EN;28/05/2009;COM;0.8333;1
1070153;EN;28/05/2009;COM;0.8333;1
1070153;EN;28/05/2009;COM;0.8333;1
1070153;EN;28/05/2009;COM;0.8333;1
1070153;EN;03/06/2009;COM;0.8333;1
1070153;EN;03/06/2009;COM;0.8333;1
107138;CC;01/12/2007;COM;1.2;0
107138;CC;01/12/2007;COM;1;0
107440;CC;01/12/2007;COM;1.2;0
107440;CC;01/12/2007;COM;1;0
1075450;EN;10/07/2009;COM;0;1
1079830;EN;06/07/2010;COM;0.8783;1
1079830;EN;28/12/2010;COM;0.8783;1
1079909;EN;08/06/2010;COM;0.9737;1
107998;CC;23/08/2007;COM;5.41;
107998;CC;23/08/2007;COM;1;
107998;CC;23/08/2007;COM;1.2;
107999;CC;24/08/2006;COM;6.78;
1081855;EN;09/12/2009;COM;1.0132;1
1083537;EN;20/12/2010;COM;0.8783;1
108400;EN;21/03/2008;COM;0.8079;1
