CustomerID;Gender;DOB;District;ZIP;StreeID
908289;F;24/01/1957;5;3660;42555
55837;M;31/01/1948;1;2620;24910
493436;M;11/07/1977;5;3570;39586
913684;F;01/01/1900;5;3500;37484
36632;M;18/08/1952;5;3910;46296
1018552;M;01/01/1900;1;2520;22892
190515;M;01/01/1900;5;3800;45134
990176;M;01/01/1900;5;3920;46477
446005;F;01/01/1900;5;3990;48483
255611;NA;01/01/1900;5;3570;39699
709655;M;08/02/1966;1;2440;21079
97068;M;01/01/1900;5;3690;43382
784639;F;01/01/1900;5;3770;44879
90083;M;14/08/1965;5;3620;41417
181781;M;23/11/1937;5;3630;41920
135581;NA;01/01/1900;5;3520;38104
125526;M;23/06/1956;5;3730;44195
95055;M;31/08/1948;5;3600;40985
74964;M;07/06/1946;5;3560;39453
125488;M;08/03/1953;5;3730;44218
77465;M;13/02/1960;5;3500;37730
924663;F;11/06/1951;5;3700;43834
970606;F;01/01/1900;1;2900;28324
364640;M;01/04/1965;5;3990;48338
265906;F;01/01/1900;5;3740;44517
217494;M;12/01/1965;5;3770;44712
827139;F;12/06/1955;5;3550;39012
96868;M;16/09/1952;5;3690;43491
887788;F;27/05/1963;2;3400;36862
89283;M;01/01/1900;5;3600;40976
232456;M;14/11/1951;5;3550;39167
68399;M;02/12/1936;1;2980;30370
6621;M;21/05/1958;5;3500;37669
1153003;F;14/04/1977;5;3590;40383
147765;M;06/07/1935;5;3511;37958
103474;M;25/06/1947;5;3830;108724
226392;F;01/01/1900;5;3920;46790
515359;M;01/01/1900;5;3520;38208
63110;M;01/01/1900;5;3500;37629
503092;M;17/12/1951;1;2250;16966
302268;M;12/08/1945;1;2630;25109
1166993;F;07/06/1974;5;3800;45117
90473;M;01/01/1900;5;3620;41294
108717;NA;12/07/1949;5;3930;47155
746901;F;01/01/1900;5;3590;40415
65202;M;17/10/1953;5;3640;42213
996304;M;01/01/1900;5;3600;41055
1131491;F;29/09/1976;5;3520;38231
915231;F;01/01/1900;5;3550;132835
41868;M;01/01/1900;5;3630;41866
807708;F;16/08/1957;1;2820;26667
246681;M;16/01/1948;5;3630;41901
923913;M;01/01/1900;5;3530;38455
940324;M;01/01/1900;1;2950;29376
669499;M;25/12/1934;1;2520;22958
941933;F;16/11/1941;1;2970;30103
110374;M;07/08/1950;5;3950;47592
799182;F;21/06/1977;5;3665;42741
52794;M;07/02/1930;5;3580;39728
675412;F;13/12/1946;1;2930;28905
81613;NA;01/01/1900;5;3530;38418
151637;M;09/07/1944;2;3271;35310
944672;F;01/01/1900;1;2610;24794
82001;M;01/01/1900;5;3540;38708
793341;F;19/04/1967;5;3500;37601
177757;M;08/02/1964;5;3700;43661
662482;M;11/08/1942;1;2100;14680
725805;M;21/01/1948;1;2930;29133
930619;M;21/05/1946;1;2150;15083
825072;F;14/05/1980;5;3770;44701
103673;M;23/09/1956;5;3830;45501
952094;NA;01/01/1900;1;2470;21869
953898;M;01/01/1900;5;3740;44482
890162;F;28/07/1969;1;2990;30702
857653;F;29/03/1973;1;2845;27204
111185;M;01/01/1900;5;3960;47647
74923;NA;18/06/1947;5;3800;45376
1150046;F;01/01/1900;5;3570;39650
675064;M;13/04/1947;7;9120;68916
486049;M;23/07/1962;1;2980;30511
141123;F;01/01/1900;5;3500;37580
967711;M;01/01/1900;5;3680;43361
755594;M;25/02/1948;1;2630;25091
799029;F;25/06/1945;1;2500;22643
970937;M;01/01/1900;5;3950;47540
42756;M;31/10/1938;5;3800;45111
230080;M;04/05/1960;5;3530;38612
795261;M;18/09/1939;5;3920;46599
116402;M;24/02/1953;5;3500;37417
210354;NA;01/01/1900;5;3550;38973
135741;M;11/06/1948;5;3560;39477
108762;M;29/07/1947;5;3930;46973
980236;M;27/09/1964;5;3740;44528
649604;M;13/06/1947;1;2520;22947
204115;F;06/09/1991;5;3650;42417
240069;M;01/01/1900;5;3511;37907
96599;M;11/06/1942;5;3680;43168
130702;M;11/09/1945;5;3600;40708
28344;M;21/05/1950;5;3990;48442
786484;F;10/03/1958;5;3600;40887
1111274;F;26/05/1965;5;3500;37599
80596;M;11/09/1943;5;3520;38176
500564;M;05/04/1945;5;3700;43866
1124204;F;28/09/1962;5;3570;39646
833258;M;01/01/1900;5;3580;39766
110408;M;31/07/1955;5;3950;47483
77555;M;01/01/1900;5;3500;37463
68364;M;14/07/1947;5;3530;38640
130858;F;01/08/1968;5;3724;44101
93327;F;30/04/1940;5;3650;42504
614318;M;06/01/1937;1;2200;15873
89989;NA;01/01/1900;5;3600;40927
911730;M;25/08/1946;5;3920;46863
775401;M;03/08/1970;1;2880;27986
1163785;M;06/02/1949;5;3590;40288
265531;M;17/04/1968;5;3910;46438
980298;M;14/07/1979;5;3550;38963
996607;M;03/01/1946;5;3970;47952
758402;M;04/03/1966;1;2340;19103
11267;M;01/01/1900;5;3590;40325
777008;M;24/02/1961;1;2640;25213
459034;M;17/11/1955;5;3680;43098
1166946;M;28/04/1952;5;3550;39030
126687;M;22/05/1941;5;3800;45103
113750;M;01/01/1900;5;3620;41530
1105293;NA;01/01/1900;1;2180;15484
795307;F;05/01/1973;5;3700;43775
87798;M;23/05/1950;5;3590;40313
595079;M;04/01/1954;1;2990;30905
460612;M;04/03/1906;1;2980;30352
191240;M;01/01/1900;5;3700;43567
129675;M;11/03/1944;5;3950;47599
98349;M;01/01/1900;5;3720;44000
806628;M;24/05/1975;1;2801;133399
898106;M;01/01/1900;5;3512;38040
111817;M;05/09/1951;5;3970;48005
304732;M;19/02/1968;5;3640;42121
290997;M;02/02/1975;5;3530;38449
884824;M;06/02/1973;5;3560;39448
123122;M;01/01/1900;5;3630;41942
297158;M;01/01/1900;5;3621;41645
129130;NA;01/01/1900;5;3960;47773
176849;M;03/01/1950;5;3840;45674
810810;M;11/04/1949;1;2275;17623
87336;M;01/01/1900;5;3590;40403
812255;M;18/06/1955;1;2650;25389
49387;M;01/04/1977;5;3680;43366
90452;M;01/01/1900;5;3620;41366
97768;M;01/01/1900;5;3700;43779
797082;M;26/05/1953;5;3580;39729
811253;M;23/03/1956;5;3620;41377
897693;M;21/11/1939;1;2600;24368
1165819;M;01/01/1900;5;3620;41371
658264;F;01/01/1900;1;2820;26602
77018;F;09/01/1954;5;3500;37769
749887;M;15/04/1944;5;3620;41318
882205;M;05/03/1944;5;3650;42476
180337;M;22/11/1947;5;3941;47278
159085;M;03/11/1933;5;3971;48075
126446;M;01/01/1900;5;3770;44870
764361;M;15/06/1940;1;2610;24653
94154;M;01/01/1900;5;3740;44313
199498;M;01/01/1900;5;3500;37362
767758;F;01/01/1900;5;3520;38122
827573;M;01/01/1900;5;3941;47281
408434;M;25/11/1944;7;9120;68932
33624;F;30/06/1974;1;2160;15155
1166911;F;13/01/1985;5;3500;37645
956276;F;06/03/1965;5;3840;45672
96345;F;06/02/1971;5;3680;43123
759939;M;01/07/1948;7;9100;68581
895685;M;01/01/1900;5;3510;141956
72793;NA;01/01/1900;5;3530;38351
515669;M;31/03/1963;5;3700;43890
95859;M;03/10/1936;5;3680;43239
279512;F;27/09/1962;1;2600;24459
77609;NA;12/04/1958;5;3500;37810
111034;F;01/01/1900;5;3960;47753
182747;M;01/01/1900;5;3550;39038
965287;M;30/09/1959;1;2260;17099
719228;M;14/06/1948;1;2480;22045
747784;M;01/10/1958;1;2630;25140
972567;M;01/01/1900;5;3940;47193
235072;M;28/05/1957;5;3560;39382
799125;M;01/01/1900;5;3545;38804
806556;M;01/06/1954;1;2650;25475
1107392;NA;01/01/1900;5;3630;41710
12235;M;22/08/1937;5;3650;42375
63825;M;20/12/1951;1;2300;18235
870464;M;07/02/1949;1;2650;25458
671850;M;22/07/1962;1;2960;29995
72567;M;06/06/1941;4;4600;108212
793779;M;02/12/1930;7;9160;70011
679238;M;27/03/1952;1;2290;18050
161970;M;06/08/1947;5;3730;44233
157181;M;23/08/1955;5;3650;42395
69859;F;01/01/1900;5;3550;39016
113311;NA;01/01/1900;5;3990;48269
177387;M;17/05/1958;5;3990;48310
292017;M;01/01/1900;5;3560;39481
210895;M;01/01/1900;5;3740;44497
673742;M;07/04/1953;1;2910;28631
172432;M;22/07/1957;5;3550;39012
