SubscriptionID;DeliveryType;DeliveryClass;DeliveryContext;StartDate;EndDate
1000024;MD;NOR;;18/01/2010;17/04/2010
1000082;MD;ABN;;12/02/2010;13/02/2010
1000082;MD;NOR;;15/01/2010;11/02/2010
1000082;MD;NOR;;14/02/2010;12/03/2010
1000082;MD;ABN;;14/01/2010;14/01/2010
100012;MD;NOR;;01/01/2008;30/12/2008
100013;MD;NOR;;02/01/2007;31/12/2007
100016;MD;NOR;;01/01/2008;19/07/2008
100016;MD;NOR;;28/07/2008;30/12/2008
100016;DR;NOR;VAC;20/07/2008;27/07/2008
100017;MD;NOR;;02/01/2007;06/04/2007
100017;MD;NOR;;15/04/2007;29/07/2007
100017;MD;NOR;;05/08/2007;31/12/2007
100017;DR;NOR;;07/04/2007;14/04/2007
100017;DR;NOR;;30/07/2007;04/08/2007
1000372;MD;NOR;PCH;13/02/2010;12/02/2011
1000453;MD;ABN;;26/02/2010;26/02/2010
1000453;MD;NOR;;13/02/2010;24/02/2010
1000453;DI;;NPA;25/02/2010;25/02/2010
1000453;MD;NOR;;02/03/2010;27/08/2010
1000453;MD;NOR;;11/09/2010;28/02/2011
1000453;MD;ABN;;27/02/2010;01/03/2010
1000453;DI;;VAC;28/08/2010;10/09/2010
1000488;MD;NOR;;13/02/2010;22/08/2010
1000488;DR;NOR;VAC;23/08/2010;04/09/2010
1000488;MD;NOR;;05/09/2010;12/02/2011
1000640;DR;NOR;VAC;29/12/2010;04/01/2011
1000640;MD;NOR;;19/09/2010;28/12/2010
1000640;MD;NOR;;05/01/2011;04/03/2011
1000640;MD;NOR;;01/08/2010;10/09/2010
1000640;MD;NOR;;20/01/2010;25/07/2010
1000640;DI;;VAC;11/09/2010;18/09/2010
1000640;DI;;VAC;26/07/2010;31/07/2010
1000673;MD;NOR;PCH;13/02/2010;12/02/2011
1000774;MD;NOR;;13/02/2010;15/05/2010
1000802;MD;NOR;PCH;13/02/2010;01/04/2010
1000802;MD;NOR;PCH;11/04/2010;25/05/2010
1000802;DI;;VAC;02/04/2010;10/04/2010
1000804;MD;NOR;;19/01/2010;16/02/2011
1000819;MD;NOR;ACH;13/02/2010;15/05/2010
1000840;MD;NOR;REN;13/02/2010;17/05/2010
1000848;MD;NOR;PCH;13/02/2010;12/04/2011
1000898;MD;NOR;;19/01/2010;24/04/2010
1001272;MD;NOR;;17/02/2010;16/04/2010
1001272;MD;ABN;;15/01/2010;15/01/2010
1001272;DI;;NPA;13/02/2010;15/02/2010
1001272;MD;ABN;;16/02/2010;16/02/2010
1001272;MD;NOR;;16/01/2010;12/02/2010
100129;MD;NOR;;08/05/2008;07/05/2009
100130;MD;NOR;;08/05/2007;07/05/2008
100131;MD;NOR;;08/05/2006;07/05/2007
1001450;MD;NOR;;16/01/2010;12/02/2010
1001450;MD;ABN;;15/01/2010;15/01/2010
1001483;MD;NOR;;16/01/2010;29/01/2011
1001516;MD;NOR;;16/01/2010;29/01/2011
1001565;MD;NOR;REN;15/01/2010;05/07/2010
1001774;MD;NOR;;02/05/2010;17/06/2010
1001774;MD;NOR;;14/11/2010;27/01/2011
1001774;MD;NOR;;12/02/2011;27/04/2011
1001774;MD;NOR;;26/06/2010;15/08/2010
1001774;MD;NOR;;21/08/2010;07/09/2010
1001774;MD;NOR;;21/09/2010;07/11/2010
1001774;MD;NOR;;04/03/2010;25/04/2010
1001774;DI;;VAC;08/09/2010;20/09/2010
1001774;DI;;VAC;18/06/2010;25/06/2010
1001774;DI;;VAC;08/11/2010;13/11/2010
1001774;DI;;VAC;16/08/2010;20/08/2010
1001774;DI;;VAC;28/01/2011;11/02/2011
1001774;DI;;VAC;26/04/2010;01/05/2010
1001924;MD;NOR;;31/01/2010;31/01/2011
1001934;MD;NOR;;14/02/2010;14/02/2011
1002057;MD;NOR;;14/02/2010;14/02/2011
1002089;MD;NOR;;14/02/2010;16/08/2010
1002093;MD;NOR;;14/02/2010;15/02/2011
1002096;MD;NOR;;14/02/2010;14/02/2011
1002161;MD;ABN;REN;15/01/2010;15/01/2010
1002161;MD;ABN;REN;16/01/2010;18/01/2010
1002161;MD;NOR;REN;19/01/2010;30/07/2010
1002204;MD;NOR;;14/02/2010;16/08/2010
1002245;MD;NOR;PCH;14/02/2010;17/05/2010
1002355;MD;NOR;REN;14/02/2010;17/05/2010
1002431;MD;NOR;PCH;17/01/2010;30/12/2010
1002474;MD;NOR;;06/02/2010;07/03/2011
1002496;MD;NOR;;19/01/2010;03/01/2011
1002496;MD;ABN;;15/01/2010;15/01/2010
1002496;MD;ABN;;16/01/2010;18/01/2010
1002502;MD;NOR;;02/02/2010;02/02/2011
1002542;MD;NOR;;19/01/2010;19/07/2010
1002895;MD;NOR;;22/01/2010;19/02/2010
1002907;MD;NOR;REN;20/01/2010;04/04/2010
1002907;MD;NOR;REN;12/04/2010;16/05/2010
1002907;MD;NOR;REN;25/05/2010;01/08/2010
1002907;MD;NOR;REN;10/08/2010;24/08/2010
1002907;MD;ABN;REN;19/01/2010;19/01/2010
1002907;DI;;VAC;17/05/2010;24/05/2010
1002907;DI;;VAC;05/04/2010;11/04/2010
1002907;DI;;VAC;02/08/2010;09/08/2010
1002910;DI;;NPA;23/02/2010;23/02/2010
1002910;MD;ABN;;24/02/2010;24/02/2010
1002910;MD;NOR;;24/01/2010;22/02/2010
1002910;MD;NOR;;25/02/2010;07/04/2010
1002910;MD;NOR;;16/04/2010;04/03/2011
1002910;DI;;VAC;08/04/2010;15/04/2010
1002919;MD;NOR;;20/01/2010;12/05/2010
1002919;MD;NOR;;29/05/2010;04/08/2010
1002919;DI;;VAC;13/05/2010;28/05/2010
1002946;MD;NOR;REN;20/01/2010;18/03/2010
1003055;MD;NOR;;16/02/2010;13/09/2010
1003055;MD;NOR;;22/09/2010;24/02/2011
1003055;DI;;VAC;14/09/2010;21/09/2010
1003059;MD;NOR;;20/11/2010;15/03/2011
1003059;MD;NOR;;18/02/2010;01/06/2010
1003059;MD;NOR;;17/06/2010;08/11/2010
1003059;DI;;VAC;09/11/2010;19/11/2010
1003059;DI;;VAC;02/06/2010;16/06/2010
1003065;MD;NOR;;18/02/2010;06/07/2010
1003065;MD;NOR;;17/07/2010;28/02/2011
1003065;DI;;VAC;07/07/2010;16/07/2010
1003078;MD;NOR;ACH;04/03/2010;18/06/2010
1003078;MD;NOR;ACH;26/06/2010;03/09/2010
1003078;MD;NOR;ACH;25/09/2010;31/03/2011
1003078;DI;;VAC;19/06/2010;25/06/2010
1003078;DI;;VAC;04/09/2010;24/09/2010
1003081;MD;NOR;;18/02/2010;28/03/2010
1003081;MD;NOR;;04/04/2010;08/09/2010
1003081;MD;NOR;;04/10/2010;21/03/2011
1003081;DI;;VAC;29/03/2010;03/04/2010
1003081;DI;;VAC;09/09/2010;03/10/2010
1003127;MD;NOR;;16/02/2010;15/02/2011
1003200;MD;NOR;PCH;16/02/2010;15/02/2011
1003234;MD;NOR;PCH;18/02/2010;20/08/2010
1003234;MD;NOR;PCH;03/09/2010;02/03/2011
1003234;DI;;VAC;21/08/2010;02/09/2010
1003247;MD;NOR;;18/08/2010;26/02/2011
1003247;MD;NOR;;18/02/2010;08/08/2010
1003247;DI;;VAC;09/08/2010;17/08/2010
1003282;MD;NOR;;18/02/2010;17/02/2011
100332;MD;NOR;;01/01/2008;30/12/2008
100333;MD;NOR;;02/01/2007;31/12/2007
1003370;MD;NOR;PCH;18/02/2010;17/02/2011
1003415;MD;NOR;REN;17/02/2010;12/07/2010
1003415;MD;NOR;REN;20/07/2010;23/02/2011
1003415;DI;;VAC;13/07/2010;19/07/2010
1003456;MD;NOR;;18/02/2010;17/02/2011
1003537;MD;NOR;;16/02/2010;17/02/2011
1003631;MD;NOR;PCH;16/02/2010;18/05/2010
1003654;MD;NOR;;16/02/2010;09/07/2010
1003654;MD;NOR;;01/08/2010;08/03/2011
1003654;DI;;VAC;10/07/2010;31/07/2010
1003690;MD;NOR;REN;18/02/2010;20/05/2010
1003725;MD;NOR;;17/02/2010;19/05/2010
1003815;MD;NOR;;17/02/2010;19/05/2010
1003827;MD;NOR;REN;18/02/2010;31/05/2010
1003876;MD;NOR;;18/02/2010;20/05/2010
1003918;MD;NOR;PCH;18/02/2010;07/05/2010
1003918;MD;NOR;PCH;15/05/2010;27/05/2010
1003918;DI;;VAC;08/05/2010;14/05/2010
1003921;MD;NOR;;02/02/2010;03/05/2010
1003991;MD;NOR;;17/02/2010;17/03/2010
1004019;MD;NOR;PCH;17/02/2010;19/05/2010
1004187;MD;NOR;PCH;04/02/2010;04/03/2010
1004332;MD;NOR;PCH;04/02/2010;04/03/2010
1004554;MD;NOR;;21/01/2010;19/03/2010
1004568;DI;;NPA;03/03/2010;10/03/2010
1004568;MD;ABN;;12/03/2010;12/03/2010
1004568;MD;ABN;;11/03/2010;11/03/2010
1004568;MD;NOR;;19/02/2010;02/03/2010
1004568;MD;NOR;;13/03/2010;26/02/2011
1004583;MD;NOR;;19/02/2010;18/02/2011
1004751;MD;NOR;PCH;19/02/2010;21/05/2010
1004794;MD;NOR;PCH;19/02/2010;21/05/2010
1004876;MD;NOR;;19/02/2010;21/05/2010
1004890;MD;NOR;;26/01/2010;04/05/2010
1004895;MD;NOR;PCH;05/02/2010;05/03/2010
1004945;MD;NOR;;31/01/2010;08/05/2010
1004956;MD;NOR;;05/02/2010;05/03/2010
1005109;MD;NOR;;31/01/2010;02/03/2011
1005451;MD;NOR;PCH;20/02/2010;28/06/2010
1005451;MD;NOR;PCH;29/08/2010;21/04/2011
1005451;DI;;VAC;29/06/2010;28/08/2010
1005470;MD;NOR;PCH;20/02/2010;06/06/2010
1005470;MD;NOR;PCH;12/06/2010;18/07/2010
1005470;MD;NOR;PCH;25/07/2010;15/08/2010
1005470;MD;NOR;PCH;22/08/2010;10/03/2011
1005470;DI;;VAC;19/07/2010;24/07/2010
1005470;DI;;OTH;07/06/2010;11/06/2010
1005470;DI;;VAC;16/08/2010;21/08/2010
1005612;MD;NOR;ACH;20/02/2010;22/05/2010
1005625;MD;NOR;REN;20/02/2010;21/08/2010
1005650;MD;NOR;REN;20/02/2010;22/05/2010
1005679;MD;NOR;PCH;20/02/2010;12/07/2010
1005679;MD;NOR;PCH;01/08/2010;10/03/2011
1005679;DI;;VAC;13/07/2010;31/07/2010
1005738;MD;NOR;;20/02/2010;22/05/2010
1005744;MD;NOR;;20/02/2010;22/05/2010
1005828;MD;NOR;REN;20/02/2010;22/05/2010
100593;MD;NOR;;01/01/2008;30/12/2008
100594;MD;NOR;;02/01/2007;31/12/2007
1005971;MD;NOR;;01/02/2010;31/01/2011
1006070;MD;NOR;PCH;06/02/2010;06/03/2010
1006075;MD;ABN;;22/01/2010;22/01/2010
1006075;MD;NOR;;23/01/2010;20/03/2010
1006112;MD;NOR;;03/02/2010;03/03/2010
1006141;MD;NOR;PCH;13/02/2010;12/02/2011
1006246;MD;NOR;PCH;21/02/2010;19/03/2011
1006259;MD;NOR;;23/02/2010;06/07/2010
1006259;MD;NOR;;20/07/2010;06/08/2010
1006259;MD;NOR;;15/08/2010;29/10/2010
1006259;MD;NOR;;05/11/2010;29/12/2010
1006259;MD;NOR;;06/01/2011;25/03/2011
1006259;DI;;VAC;30/10/2010;04/11/2010
1006259;DI;;VAC;30/12/2010;05/01/2011
1006259;DI;;VAC;07/08/2010;14/08/2010
1006259;DI;;VAC;07/07/2010;19/07/2010
1006478;MD;NOR;;29/01/2010;06/05/2010
1006615;MD;NOR;PCH;21/02/2010;29/05/2010
1006632;MD;NOR;;21/02/2010;25/05/2010
1006655;MD;NOR;;21/02/2010;29/05/2010
1006678;MD;NOR;PCH;07/02/2010;08/05/2010
1006710;MD;NOR;;26/01/2010;24/04/2010
1006722;MD;NOR;PCH;07/02/2010;08/03/2010
1006735;MD;NOR;REN;26/01/2010;30/06/2010
1006735;MD;NOR;REN;10/07/2010;04/03/2011
1006735;DI;;VAC;01/07/2010;09/07/2010
1006850;MD;NOR;;01/02/2010;31/01/2011
100686;MD;NOR;;01/01/2008;30/12/2008
100687;MD;NOR;;02/01/2007;31/12/2007
1006913;MD;NOR;REN;27/01/2010;26/01/2011
1007112;MD;ABN;REN;26/01/2010;26/01/2010
1007112;MD;NOR;REN;27/01/2010;27/07/2010
100712;MD;NOR;;01/01/2008;30/12/2008
100713;MD;NOR;;02/01/2007;31/12/2007
1007136;MD;ABN;REN;06/03/2010;08/03/2010
1007136;MD;NOR;REN;30/01/2010;27/02/2010
1007136;MD;NOR;REN;09/03/2010;15/05/2010
1007136;MD;ABN;REN;05/03/2010;05/03/2010
1007136;DI;;NPA;28/02/2010;04/03/2010
1007155;MD;NOR;REN;27/01/2010;04/05/2010
1007160;MD;NOR;PCH;18/02/2010;18/03/2011
1007274;MD;NOR;REN;28/01/2010;23/02/2011
1007274;MD;ABN;REN;26/01/2010;27/01/2010
1007388;MD;NOR;PCH;24/02/2010;24/02/2011
1007391;MD;NOR;;24/02/2010;27/06/2010
1007391;MD;NOR;;03/07/2010;11/07/2010
1007391;MD;NOR;;17/07/2010;06/10/2010
1007391;MD;NOR;;16/10/2010;16/03/2011
1007391;DI;;OTH;07/10/2010;15/10/2010
1007391;DI;;VAC;28/06/2010;02/07/2010
1007391;DI;;VAC;12/07/2010;16/07/2010
1007410;MD;NOR;;23/02/2010;04/07/2010
1007410;MD;NOR;;27/07/2010;15/03/2011
1007410;DI;;VAC;05/07/2010;26/07/2010
1007636;MD;NOR;ACH;23/02/2010;23/02/2011
1007781;MD;NOR;PCH;24/02/2010;23/02/2011
1008452;MD;NOR;PCH;24/02/2010;23/02/2011
1008680;MD;NOR;PCH;24/02/2010;25/08/2010
1008702;MD;NOR;;23/02/2010;24/08/2010
1008728;MD;NOR;;23/02/2010;24/08/2010
1008736;MD;NOR;;23/02/2010;27/05/2010
1008810;MD;NOR;REN;25/02/2010;28/05/2010
1008884;MD;NOR;REN;24/02/2010;06/03/2010
1008884;MD;ABN;REN;07/03/2010;08/03/2010
1008884;MD;NOR;REN;09/03/2010;27/05/2010
1008897;MD;NOR;;24/02/2010;27/05/2010
1008997;MD;NOR;;24/02/2010;25/05/2010
1008997;MD;NOR;;05/06/2010;07/06/2010
1008997;DI;;VAC;26/05/2010;04/06/2010
1009050;MD;NOR;PCH;25/02/2010;21/03/2010
1009050;MD;NOR;PCH;27/03/2010;03/06/2010
1009050;DI;;VAC;22/03/2010;26/03/2010
1009142;MD;NOR;PCH;25/02/2010;28/05/2010
1009162;MD;NOR;PCH;09/02/2010;09/03/2010
1009179;MD;NOR;PCH;25/02/2010;28/05/2010
1009182;MD;NOR;REN;25/02/2010;28/05/2010
1009243;MD;NOR;;11/02/2010;11/03/2010
1009245;MD;NOR;REN;10/02/2010;10/03/2010
1009264;MD;NOR;PCH;09/02/2010;09/03/2010
1009322;MD;NOR;;11/02/2010;11/03/2010
