FormulaID;FormulaCode;FormulaType;Duration
10011;2051;CAM;12
10013;2051;CAM;12
10014;2051;CAM;6
10017;0003;CAM;3
10019;0071;CAM;3
10020;0004;CAM;3
10023;0011;CAM;3
10024;0011;CAM;3
1003;0777;CAM;12
10038;0082;CAM;3
1004;0777;CAM;12
1005;0777;CAM;12
10055;0005;CAM;3
10077;0005;CAM;6
10079;2074;CAM;12
1009;0777;REG;1
10102;5005;CAM;3
10103;5005;CAM;3
10106;2091;CAM;6
10109;2091;CAM;6
10136;0013;CAM;6
10137;0013;CAM;6
10138;0013;CAM;12
10139;0013;CAM;12
10140;0013;CAM;12
10141;0013;CAM;6
10153;2097;CAM;6
1016;0777;REG;3
1020;0777;REG;6
1021;0777;REG;6
10218;2102;CAM;3
10222;2102;CAM;6
10229;2102;CAM;3
10250;2102;CAM;3
10253;2102;CAM;6
1026;0070;CAM;12
1027;0070;CAM;12
10315;0013;CAM;6
10325;0013;CAM;6
10328;0013;CAM;6
10350;0013;CAM;6
10353;0013;CAM;6
1036;0071;REG;3
10363;0013;CAM;6
10376;0013;CAM;6
1041;0071;REG;6
10463;0005;CAM;1
10464;0005;CAM;1
10470;2103;CAM;6
10473;2103;CAM;6
10509;2049;CAM;6
10512;2049;CAM;6
10521;2049;CAM;3
10580;2051;CAM;12
10581;2051;CAM;6
10584;2051;CAM;1
1068;0072;REG;12
10699;2051;CAM;1
10702;2051;CAM;3
10709;2051;REG;3
10929;2051;REG;6
10932;2051;CAM;6
10943;2095;CAM;1
10946;2095;CAM;3
10954;2095;CAM;3
10961;2095;REG;3
10964;2095;CAM;1
10967;2095;CAM;3
10975;2095;CAM;3
10982;2095;REG;3
10983;2101;CAM;12
10995;2101;CAM;6
10998;2101;CAM;6
1100;0073;REG;6
11007;2101;CAM;6
11010;2101;CAM;6
11019;0013;CAM;6
11044;0013;CAM;6
11047;0013;CAM;6
11057;0013;CAM;6
11060;0013;CAM;6
11077;2103;CAM;1
11080;2103;CAM;3
11088;2103;CAM;3
11095;2103;REG;3
111;0005;REG;3
11109;0013;CAM;12
11118;0013;CAM;1
11119;0013;CAM;1
11120;0013;CAM;1
11123;0013;REG;1
11126;0013;CAM;6
11134;0013;CAM;12
11142;0013;CAM;1
11143;0013;CAM;1
11144;0013;CAM;1
11147;0013;REG;1
11198;2051;REG;1
112;0005;REG;3
11201;2051;CAM;3
11208;2051;REG;3
11211;0013;CAM;1
11214;0013;CAM;3
11253;2106;CAM;3
11261;2106;CAM;3
11268;2106;REG;3
11297;2108;CAM;6
113;0005;REG;3
11300;2108;CAM;6
1134;0075;CAM;3
115;0005;REG;6
11503;2111;CAM;1
11524;2111;CAM;1
1177;0076;REG;3
1182;0076;REG;6
11910;2112;CAM;1
1193;0077;REG;3
11967;2114;CAM;3
120;0005;REG;12
1203;0077;REG;12
1209;0078;CAM;3
121;0005;REG;12
12135;2115;CAM;6
122;0005;REG;12
123;0005;REG;12
12422;2119;CAM;1
12429;2119;CAM;3
12436;2119;REG;3
12440;2051;CAM;3
12517;2120;CAM;12
1254;0079;REG;12
1281;0080;CAM;3
1287;0080;REG;3
1291;0080;REG;6
1292;0080;REG;6
12956;0013;CAM;6
1296;0080;REG;12
12969;0013;CAM;6
1297;0080;REG;12
13006;2051;CAM;1
13033;2051;CAM;1
13158;2125;CAM;1
13193;2125;CAM;3
1324;0081;REG;12
1325;0081;REG;12
13383;2120;CAM;12
13449;2051;CAM;1
13674;2034;CAM;6
13706;2051;CAM;1
13748;2127;CAM;3
14003;0013;CAM;6
14137;0013;CAM;6
14323;2040;CAM;3
14356;0992;CAM;1
14395;2051;CAM;12
14407;0001;REG;12
14408;0002;REG;12
14410;0002;REG;6
14411;0001;REG;3
14412;0002;REG;3
14447;0003;REG;3
14448;0003;REG;6
14449;0003;REG;12
14463;0777;REG;12
14500;0200;REG;3
14502;0200;REG;12
14552;0014;CAM;12
14553;0014;REG;12
14554;0070;CAM;12
14561;0082;REG;12
14565;0082;REG;3
14583;0001;REG;3
14584;0003;REG;3
14595;0199;REG;12
14604;0001;REG;12
14612;0777;REG;6
14638;0005;REG;3
14661;2025;REG;3
14669;0082;REG;12
14673;0016;REG;3
14675;2034;REG;3
14678;2036;REG;3
14684;2041;REG;6
14687;2043;REG;3
14690;0199;REG;12
14697;0199;REG;12
14700;2047;REG;3
14708;2055;REG;3
14713;0013;REG;3
14746;5005;REG;3
148;0010;REG;3
14827;2095;REG;3
14832;2051;REG;3
14878;2119;REG;3
14947;8000;CAM;12
14950;0002;REG;12
14960;0005;REG;12
14964;0010;REG;3
