SubscriptionID	CustomerID	ProductID	Pattern		StartDate	EndDate	NbrNewspapers	NbrStart	RenewalDate	PaymentType	PaymentStatus	PaymentDate	FormulaID	GrossFormulaPrice	NetFormulaPrice	NetNewspaperPrice	ProductDiscount	FormulaDiscount	TotalDiscount	TotalPrice	TotalCredit
1000024	1150045	8	1111110		18/01/2010	17/04/2010	76	25	17/03/2010	BT	Paid	27/01/2010	8552	79	79	1.039.474	0	0	0	79	0
1000082	1150046	8	1111110		14/01/2010	12/03/2010	50	25	3/03/2010	BT	Paid	11/02/2010	10017	519.737	29.6	0.592	0	223.737	223.737	29.6	0
100012	89085	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	12/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100013	89085	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	28/12/2006	874	235	235	0.773026	0	0	0	235	0
100016	89087	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	12/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100017	89087	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	13/12/2006	874	235	235	0.773026	0	0	0	235	0
1000372	325943	2	1111110		13/02/2010	12/02/2011	304	10	13/01/2011	BT	Paid	27/01/2010	8640	267	267	0.878289	0	0	0	267	0
1000453	191542	8	1111110		13/02/2010	28/02/2011	304	10	31/01/2011	BT	Paid	25/02/2010	8637	267	267	0.878289	0	0	0	267	0
1000488	83885	8	1111110		13/02/2010	12/02/2011	304	10	13/01/2011	BT	Paid	11/02/2010	8637	267	267	0.878289	0	0	0	267	0
1000566	309653	2	1111110		13/02/2010	13/02/2010	304	10	BT	Not	Paid	8896									
1000640	1111604	8	1111110		20/01/2010	4/03/2011	329	25	2/02/2011	BT	Paid	27/01/2010	9419	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0
1000673	809659	3	1111110		13/02/2010	12/02/2011	304	10	13/01/2011	BT	Paid	12/02/2010	8640	267	267	0.878289	0	0	0	267	0
1000774	110573	8	1111110		13/02/2010	15/05/2010	76	10	BT	Paid	27/01/2010	31/05/1923	79	79	1.039.474	0	0	0	79	0	
1000802	594955	1	1111110		13/02/2010	25/05/2010	76	10	26/04/2010	BT	Paid	8/02/2010	8958	79	79	1.039.474	0	0	0	79	0
1000804	1132498	8	1111110		19/01/2010	16/02/2011	329	25	17/01/2011	BT	Paid	28/01/2010	9419	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0
1000819	1018582	6	1111110		13/02/2010	15/05/2010	76	10	15/04/2010	BT	Paid	28/01/2010	8907	79	79	1.039.474	0	0	0	79	0
1000840	805609	8	1111110		13/02/2010	17/05/2010	76	10	19/04/2010	BT	Paid	29/01/2010	9130	79	79	1.039.474	0	0	0	79	0
1000848	892534	5	1111110		13/02/2010	12/04/2011	354	10	BT	Paid	22/02/2010	12/07/1926	310.914.306	267	0.754237	0	43.914.306	43.914.306	267	0	
1000898	1133741	5	1111110		19/01/2010	24/04/2010	82	25	12/04/2010	BT	Paid	27/01/2010	9585	85.236.868	79	0.963415	0	6.236.868	6.236.868	79	0
1001214	246132	8	1111110		16/01/2010	16/01/2010	152	25	BT	Not	Paid	9200									
1001272	53936	8	1111110		15/01/2010	16/04/2010	76	25	17/03/2010	BT	Paid	15/02/2010	8548	79	79	1.039.474	0	0	0	79	0
100129	89154	8	1111110		8/05/2008	7/05/2009	304	10	7/04/2009	BT	Paid	7/05/2008	875	249	249	0.811842	0	0	0	246.8	-2.2
100130	89154	8	1111110		8/05/2007	7/05/2008	305	25	7/04/2008	BT	Paid	25/04/2007	874	235	235	0.770492	0	0	0	235	0
100131	89154	8	1111110		8/05/2006	7/05/2007	303	15	BT	Paid	25/04/2006	22/05/1902	229	229	0.755776	0	0	0	229	0	
1001450	1150113	8	1111110		15/01/2010	12/02/2010	25	25	4/03/2010	BT	Paid	15/02/2010	6299	26	13	0.52	0	13	13	13	0
1001483	638927	8	0000010		16/01/2010	29/01/2011	52	4	30/12/2010	BT	Paid	27/01/2010	9492	57.2	45	0.865385	0	12.2	12.2	45	0
1001516	782965	8	0000010		16/01/2010	29/01/2011	52	4	30/12/2010	BT	Paid	27/01/2010	9492	57.2	45	0.865385	0	12.2	12.2	45	0
1001565	246132	8	1111110		15/01/2010	5/07/2010	152	25	7/06/2010	BT	Paid	27/01/2010	9200	148	148	0.973684	0	0	0	148	0
1001774	94618	8	1111110		4/03/2010	27/04/2011	304	10	BT	Paid	23/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1001924	675279	6	1111110		31/01/2010	31/01/2011	304	10	17/01/2011	DD	Paid	20/01/2010	8640	267	267	0.878289	0	0	0	267	0
1001934	903182	6	1111110		14/02/2010	14/02/2011	304	10	17/01/2011	BT	Paid	18/02/2010	8640	267	267	0.878289	0	0	0	267	0
1002057	895685	8	1111110		14/02/2010	14/02/2011	304	10	17/01/2011	BT	Paid	9/02/2010	8748	267	267	0.878289	0	0	0	267	0
1002089	79051	8	1111110		14/02/2010	16/08/2010	152	10	19/07/2010	BT	Paid	17/02/2010	8636	148	148	0.973684	0	0	0	148	0
1002093	191719	8	1111110		14/02/2010	15/02/2011	304	10	17/01/2011	BT	Paid	27/01/2010	8637	267	267	0.878289	0	0	0	267	0
1002096	238547	8	1111110		14/02/2010	14/02/2011	304	10	17/01/2011	BT	Paid	28/01/2010	8739	267	267	0.878289	0	0	0	267	0
1002161	858439	8	1111110		15/01/2010	30/07/2010	164	25	16/07/2010	BT	Paid	28/01/2010	9094	15.968.421	148	0.902439	0	1.168.421	1.168.421	148	0
1002204	185746	8	1111110		14/02/2010	16/08/2010	152	10	19/07/2010	BT	Paid	8/02/2010	8747	148	148	0.973684	0	0	0	148	0
1002245	1004057	1	1111110		14/02/2010	17/05/2010	76	10	19/04/2010	BT	Paid	3/02/2010	9087	79	79	1.039.474	0	0	0	79	0
1002355	917035	8	1111110		14/02/2010	17/05/2010	76	10	19/04/2010	BT	Paid	10/02/2010	8552	79	79	1.039.474	0	0	0	79	0
1002431	659531	6	1111110		17/01/2010	30/12/2010	304	25	27/11/2010	BT	Paid	27/01/2010	9555	267	146.85	0.483059	0	120.15	120.15	146.85	0
1002474	1131718	8	1111110		6/02/2010	7/03/2011	329	10	BT	Paid	26/01/2010	14/10/1925	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0	
1002496	85566	8	1111110		15/01/2010	3/01/2011	329	25	20/12/2010	DD	Paid	26/01/2010	5742	280.299.342	259	0.787234	0	21.299.342	21.299.342	182	-77
1002502	35410	3	1111110		2/02/2010	2/02/2011	304	25	3/01/2011	BT	Paid	3/02/2010	8845	267	267	0.878289	0	0	0	267	0
1002542	1150307	6	1111110		19/01/2010	19/07/2010	152	25	BT	Paid	27/01/2010	6/10/1927	146	90	0.592105	0	56	56	90	0	
1002895	110883	8	1111110		22/01/2010	19/02/2010	25	25	3/02/2010	DD	Paid	20/01/2010	9465	23.6	23.6	0.944	0	0	0	23.6	0
1002907	1109062	8	1111110		19/01/2010	24/08/2010	164	25	19/07/2010	BT	Paid	29/01/2010	9094	15.968.421	148	0.902439	0	1.168.421	1.168.421	148	0
1002910	1134353	5	1111110		24/01/2010	4/03/2011	329	25	2/02/2011	BT	Paid	23/02/2010	9442	288.957.236	267	0.81155	0	21.957.236	21.957.236	267	0
1002919	861135	8	1111110		20/01/2010	4/08/2010	152	25	5/08/2010	BT	Paid	27/01/2010	10136	148	90	0.592105	0	58	58	90	0
1002946	66815	6	1111110		20/01/2010	18/03/2010	50	25	16/02/2010	BT	Paid	27/01/2010	9584	519.737	29.6	0.592	0	223.737	223.737	29.6	0
1003055	918651	8	1111110		16/02/2010	24/02/2011	304	10	25/01/2011	BT	Paid	12/02/2010	8637	267	267	0.878289	0	0	0	267	0
1003059	911730	8	1111110		18/02/2010	15/03/2011	304	10	BT	Paid	16/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1003065	251457	8	1111110		18/02/2010	28/02/2011	304	10	31/01/2011	BT	Paid	1/02/2010	8637	267	267	0.878289	0	0	0	267	0
1003078	682729	6	1111110		4/03/2010	31/03/2011	304	10	BT	Paid	12/02/2010	27/08/1923	267	267	0.878289	0	0	0	267	0	
1003081	149524	8	1111110		18/02/2010	21/03/2011	304	10	BT	Paid	19/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1003127	978484	8	1111110		16/02/2010	15/02/2011	304	10	17/01/2011	BT	Paid	11/02/2010	8637	267	267	0.878289	0	0	0	267	0
1003200	308255	2	1111110		16/02/2010	15/02/2011	304	10	17/01/2011	BT	Paid	9/02/2010	8640	267	267	0.878289	0	0	0	267	0
1003234	860651	3	1111110		18/02/2010	2/03/2011	304	10	31/01/2011	BT	Paid	26/01/2010	8640	267	267	0.878289	0	0	0	267	0
1003247	505007	8	1111110		18/02/2010	26/02/2011	304	10	27/01/2011	BT	Paid	28/01/2010	8637	267	267	0.878289	0	0	0	267	0
1003282	743220	8	1111110		18/02/2010	17/02/2011	304	10	18/01/2011	BT	Paid	26/02/2010	8637	267	267	0.878289	0	0	0	267	0
100332	89283	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	12/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100333	89283	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	11/12/2006	874	235	235	0.773026	0	0	0	235	0
1003370	715407	3	1111110		18/02/2010	17/02/2011	304	10	BT	Paid	10/02/2010	27/08/1923	267	267	0.878289	0	0	0	267	0	
