SubscriptionID	CustomerID	ProductID	Pattern	StartDate	EndDate	NbrNewspapers	NbrStart	RenewalDate	PaymentType	PaymentStatus	PaymentDate	FormulaID	GrossFormulaPrice	NetFormulaPrice	NetNewspaperPrice	ProductDiscount	FormulaDiscount	TotalDiscount	TotalPrice	TotalCredit
1000024	1150045	8	1111110	18/01/2010	17/04/2010	76	25	17/03/2010	BT	Paid	27/01/2010	8552	79	79	1.039.474	0	0	0	79	0
1000082	1150046	8	1111110	14/01/2010	12/3/2010	50	25	3/3/2010	BT	Paid	11/2/2010	10017	519.737	29.6	0.592	0	223.737	223.737	29.6	0
100012	89085	8	1111110	1/1/2008	30/12/2008	304	10	21/11/2008	BT	Paid	12/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100013	89085	8	1111110	2/1/2007	31/12/2007	304	25	1/12/2007	BT	Paid	28/12/2006	874	235	235	0.773026	0	0	0	235	0
100016	89087	8	1111110	1/1/2008	30/12/2008	304	10	21/11/2008	BT	Paid	12/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100017	89087	8	1111110	2/1/2007	31/12/2007	304	25	1/12/2007	BT	Paid	13/12/2006	874	235	235	0.773026	0	0	0	235	0
1000372	325943	2	1111110	13/02/2010	12/2/2011	304	10	13/01/2011	BT	Paid	27/01/2010	8640	267	267	0.878289	0	0	0	267	0
1000453	191542	8	1111110	13/02/2010	28/02/2011	304	10	31/01/2011	BT	Paid	25/02/2010	8637	267	267	0.878289	0	0	0	267	0
1000488	83885	8	1111110	13/02/2010	12/2/2011	304	10	13/01/2011	BT	Paid	11/2/2010	8637	267	267	0.878289	0	0	0	267	0
1000566	309653	2	1111110	13/02/2010	13/02/2010	304	10		BT	Not Paid	8896									
1000640	1111604	8	1111110	20/01/2010	4/3/2011	329	25	2/2/2011		Paid	27/01/2010	9419	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0
1000673	809659	3	1111110	13/02/2010	12/2/2011	304	10	13/01/2011		Paid	12/2/2010	8640	267	267	0.878289	0	0	0	267	0
1000774	110573	8	1111110	13/02/2010	15/05/2010	76	10		BT	Paid	27/01/2010	31/05/1923	79	79	1.039.474	0	0	0	79	
1000802	594955	1	1111110	13/02/2010	25/05/2010	76	10	26/04/2010		Paid	8/2/2010	8958	79	79	1.039.474	0	0	0	79	0
